customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChargesPerMonth
4190-MFLUW,female,0,yes,Yes,10,Yes,No,dsl,No,No,Yes,Yes,No,No,Month-to-month,No,credit card (automatic),0.36766169154228856,0.05879875375028849,1,52.835
4183-MYFRB,female,0,no,No,21,Yes,No,fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,electronic check,0.7144278606965173,0.2127971382414032,0,88.70952380952382
8779-QRDMV,male,1,no,No,1,No,No phone service,dsl,No,No,Yes,No,No,Yes,Month-to-month,Yes,electronic check,0.21293532338308457,0.0024059543041772442,1,39.65
1680-VDCWW,male,0,yes,No,12,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,bank transfer (automatic),0.015422885572139305,0.02116893607200554,0,16.854166666666668
1066-JKSGK,male,0,no,No,1,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.018905472636815884,0.00015578121393953342,1,20.15
3638-WEABW,female,0,yes,No,58,Yes,Yes,dsl,No,Yes,No,Yes,No,No,Two year,Yes,credit card (automatic),0.4144278606965174,0.4022963304869605,0,60.432758620689654
6322-HRPFA,male,0,yes,Yes,49,Yes,No,dsl,Yes,Yes,No,Yes,No,No,Month-to-month,No,credit card (automatic),0.4114427860696518,0.34058389106854375,0,60.61836734693878
6865-JZNKO,female,0,no,No,30,Yes,No,dsl,Yes,Yes,No,No,No,No,Month-to-month,Yes,bank transfer (automatic),0.3686567164179104,0.17445188091391645,0,51.019999999999996
6467-CHFZW,male,0,yes,Yes,47,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,electronic check,0.8069651741293532,0.545851603969536,1,101.04574468085106
8665-UTDHZ,male,0,yes,Yes,1,No,No phone service,dsl,No,Yes,No,No,No,No,Month-to-month,No,electronic check,0.11890547263681589,0.0013154858066005077,1,30.2
5248-YGIJN,male,0,yes,No,72,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,credit card (automatic),0.7164179104477612,0.7328236787445188,0,88.46458333333334
8773-HHUOZ,female,0,no,Yes,17,Yes,No,dsl,No,No,No,No,Yes,Yes,Month-to-month,Yes,mailed check,0.4621890547263682,0.12396722824832679,1,64.3
3841-NFECX,female,1,yes,No,71,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,credit card (automatic),0.7771144278606964,0.778692591737826,0,95.30915492957746
4929-XIHVW,male,1,yes,No,2,Yes,No,fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),0.7686567164179104,0.01879183014078006,0,90.825
6827-IEAUQ,female,0,yes,Yes,27,Yes,No,dsl,Yes,Yes,Yes,Yes,No,No,One year,No,mailed check,0.47661691542288565,0.21412993307177478,0,69.42407407407407
7310-EGVHZ,male,0,no,No,1,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,bank transfer (automatic),0.019402985074626844,0.0001615508885298867,0,20.2
3413-BMNZE,male,1,no,No,1,Yes,No,dsl,No,No,No,No,No,No,Month-to-month,No,bank transfer (automatic),0.26865671641791045,0.003052157858296792,0,45.25
6234-RAAPL,female,0,yes,Yes,72,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,bank transfer (automatic),0.8124378109452737,0.8346295868912993,0,100.71805555555555
6047-YHPVI,male,0,no,No,5,Yes,No,fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,0.5119402985074627,0.034398799907685206,1,63.379999999999995
6572-ADKRS,female,0,no,No,46,Yes,No,fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,credit card (automatic),0.5626865671641791,0.40728132933302563,0,77.13695652173914
5380-WJKOV,male,0,no,No,34,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,0.8766169154228854,0.4073909531502423,1,104.38970588235294
8168-UQWWF,female,0,no,No,11,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),0.7920398009950248,0.12538656819755367,1,100.4909090909091
8865-TNMNX,male,0,yes,Yes,10,Yes,No,dsl,No,Yes,No,No,No,No,One year,No,mailed check,0.3114427860696517,0.05272328640664667,0,47.57
9489-DEDVP,female,0,yes,Yes,70,Yes,Yes,dsl,Yes,Yes,No,No,Yes,No,Two year,Yes,credit card (automatic),0.5069651741293533,0.5600680821601662,0,69.605
9867-JCZSP,female,0,yes,Yes,17,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,mailed check,0.02487562189054726,0.04609393030233095,0,24.602941176470587
4671-VJLCL,female,0,no,No,63,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,credit card (automatic),0.6129353233830845,0.5588102930994692,0,77.16587301587302
4080-IIARD,female,0,yes,No,13,Yes,Yes,dsl,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,electronic check,0.5766169154228856,0.11108354488806832,0,75.49615384615385
3714-NTNFO,female,0,no,No,49,Yes,Yes,fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,0.6592039800995024,0.44863835679667663,0,79.72857142857143
5948-UJZLF,male,0,no,No,2,Yes,No,dsl,No,Yes,No,No,No,No,Month-to-month,No,mailed check,0.30845771144278605,0.009023771059312256,0,48.5
7760-OYPDY,female,0,no,No,2,Yes,No,fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,electronic check,0.6208955223880598,0.014464574198015234,1,72.075
7639-LIAYI,male,0,no,No,52,Yes,Yes,dsl,Yes,No,No,Yes,Yes,Yes,Two year,Yes,credit card (automatic),0.6119402985074627,0.4845372720978537,0,81.11153846153846
2954-PIBKO,female,0,yes,Yes,69,Yes,Yes,dsl,Yes,No,Yes,Yes,No,No,Two year,Yes,credit card (automatic),0.4567164179104478,0.4887260558504501,0,61.6536231884058
8012-SOUDQ,female,1,no,No,43,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,electronic check,0.7164179104477612,0.4407973690283868,0,89.27325581395348
9420-LOJKX,female,0,no,No,15,Yes,No,fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),0.8044776119402984,0.1624278790676206,1,95.09333333333333
6575-SUVOI,female,1,yes,No,25,Yes,Yes,dsl,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,credit card (automatic),0.5099502487562189,0.2000750057696746,0,70.10600000000001
7495-OOKFY,female,1,yes,No,8,Yes,Yes,fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,credit card (automatic),0.6208955223880598,0.07090930071543965,1,79.1625
4667-QONEA,female,1,yes,Yes,60,Yes,No,dsl,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,credit card (automatic),0.56318407960199,0.5120643895684284,0,74.27250000000001
1658-BYGOY,male,1,no,No,18,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,electronic check,0.7681592039800995,0.20006346642049389,1,97.36388888888888
8769-KKTPH,female,0,yes,Yes,63,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,credit card (automatic),0.8099502487562189,0.7261020078467574,0,100.17777777777778
5067-XJQFU,male,1,yes,Yes,66,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,electronic check,0.8975124378109453,0.8143953381029311,0,107.21742424242424
3957-SQXML,female,0,yes,Yes,34,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),0.06666666666666665,0.10102700207708286,0,26.302941176470586
5954-BDFSG,female,0,no,No,72,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,credit card (automatic),0.8880597014925372,0.9040964689591507,0,109.07916666666667
0434-CSFON,female,0,yes,No,47,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,0.818407960199005,0.5409993076390492,0,100.15106382978725
1215-FIGMP,male,0,no,No,60,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,bank transfer (automatic),0.7129353233830846,0.6268059081467805,0,90.845
0526-SXDJP,male,0,yes,No,72,No,No phone service,dsl,Yes,Yes,Yes,No,No,No,Two year,No,bank transfer (automatic),0.2373134328358209,0.3396261250865451,0,41.138888888888886
0557-ASKVU,female,0,yes,Yes,18,Yes,No,dsl,No,No,Yes,Yes,No,No,One year,Yes,credit card (automatic),0.3597014925373134,0.10827371336256636,0,53.172222222222224
5698-BQJOH,female,0,no,No,9,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,electronic check,0.7577114427860697,0.0967516732056312,1,95.25
5122-CYFXA,female,0,no,No,3,Yes,No,dsl,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,electronic check,0.5676616915422885,0.025998153704131086,0,81.36666666666666
8627-ZYGSZ,male,0,yes,No,47,Yes,Yes,fiber optic,No,Yes,No,No,No,No,One year,Yes,electronic check,0.6034825870646766,0.41905723517193627,0,77.66702127659575
3410-YOQBQ,female,0,no,No,31,Yes,No,dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,No,mailed check,0.6064676616915423,0.28599123009462263,0,80.55483870967741
3170-NMYVV,female,0,yes,Yes,50,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),0.018905472636815884,0.10525040387722133,0,18.618
7410-OIEDU,male,0,no,No,10,Yes,No,fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,mailed check,0.6129353233830845,0.10022501730902378,0,88.735
2273-QCKXA,male,0,no,No,1,Yes,No,dsl,No,No,No,Yes,No,No,Month-to-month,No,mailed check,0.30646766169154227,0.0034906531271636275,0,49.05
0731-EBJQB,female,0,yes,Yes,52,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,electronic check,0.021393034825870627,0.12368451419339951,0,20.974038461538463
1891-QRQSA,male,1,yes,Yes,64,Yes,Yes,fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,bank transfer (automatic),0.9288557213930347,0.8170090006923609,0,110.921875
8028-PNXHQ,male,0,yes,Yes,62,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,bank transfer (automatic),0.05970149253731341,0.16222017078236786,0,22.97741935483871
5630-AHZIL,female,0,no,Yes,3,Yes,No,dsl,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,bank transfer (automatic),0.46019900497512434,0.018301407800600047,0,59.13333333333333
2673-CXQEU,female,1,no,No,56,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,electronic check,0.917910447761194,0.7062889453034848,0,109.63392857142857
6416-JNVRK,female,0,no,No,46,Yes,No,dsl,No,No,No,No,No,Yes,One year,No,credit card (automatic),0.37213930348258706,0.30810639279944607,0,58.45326086956521
5590-ZSKRV,female,0,yes,Yes,8,Yes,No,dsl,Yes,Yes,No,No,No,No,Month-to-month,No,mailed check,0.3621890547263681,0.05347911377798293,0,60.28125
0191-ZHSKZ,male,1,no,No,30,Yes,No,dsl,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,electronic check,0.5621890547263682,0.24146088160627743,0,70.37666666666668
3887-PBQAO,female,0,yes,Yes,45,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,credit card (automatic),0.07611940298507458,0.13821832448649896,0,27.035555555555554
5919-TMRGD,female,0,no,Yes,1,Yes,No,fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,electronic check,0.607960199004975,0.006987075928917609,1,79.35
8108-UXRQN,female,0,yes,Yes,11,No,No phone service,dsl,Yes,No,No,No,Yes,Yes,Month-to-month,No,electronic check,0.32139303482587056,0.06306831294714979,0,51.39545454545455
9191-MYQKX,female,0,yes,No,7,Yes,No,fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,bank transfer (automatic),0.5661691542288557,0.055169628432956384,1,70.98571428571428
9919-YLNNG,female,0,no,No,42,Yes,No,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),0.8512437810945274,0.4971959381490884,0,103.03571428571429
0318-ZOPWS,female,0,yes,No,49,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,bank transfer (automatic),0.018905472636815884,0.11014885760443112,0,19.864285714285714
4445-ZJNMU,male,0,no,No,9,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),0.8064676616915423,0.10384837295176552,0,102.08333333333333
4808-YNLEU,female,0,yes,No,35,Yes,No,dsl,Yes,No,No,No,Yes,No,One year,Yes,bank transfer (automatic),0.43681592039800987,0.2534791137779829,0,63.29857142857142
1862-QRWPE,female,0,yes,Yes,48,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),0.023880597014925342,0.11980152319409186,0,22.020833333333332
2796-NNUFI,female,0,yes,Yes,46,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,mailed check,0.01691542288557213,0.1048119086083545,0,20.15434782608696
3016-KSVCP,male,0,yes,No,29,No,No phone service,dsl,No,No,No,No,Yes,No,Month-to-month,No,mailed check,0.154228855721393,0.11429148396030464,0,34.80172413793103
4767-HZZHQ,male,0,yes,Yes,30,Yes,No,fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,bank transfer (automatic),0.6348258706467661,0.29441495499653814,0,85.67333333333333
2424-WVHPL,male,1,no,No,1,Yes,No,fiber optic,No,No,No,Yes,No,No,Month-to-month,No,electronic check,0.5616915422885572,0.006450496192014771,0,74.7
7233-PAHHL,male,0,yes,Yes,66,Yes,Yes,dsl,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,mailed check,0.654228855721393,0.6572178629125317,0,86.57954545454545
6067-NGCEU,female,0,no,No,65,Yes,Yes,fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),0.9233830845771144,0.8179321486268175,0,109.33846153846154
9848-JQJTX,male,0,no,No,72,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,bank transfer (automatic),0.8223880597014926,0.8585564274174937,0,103.59791666666666
8637-XJIVR,female,0,no,No,12,Yes,Yes,fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,electronic check,0.6039800995024875,0.10484075698130627,1,77.27916666666667
9803-FTJCG,male,0,yes,Yes,71,Yes,Yes,dsl,Yes,Yes,No,Yes,No,No,One year,Yes,credit card (automatic),0.4835820895522387,0.545799676898223,0,66.8830985915493
0278-YXOOG,male,0,no,No,5,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.027860696517412936,0.010968151396261252,1,22.77
3212-KXOCR,male,0,no,No,52,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),0.027363184079601977,0.12559427648280638,0,21.292307692307695
4598-XLKNJ,female,1,yes,No,25,Yes,No,fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,0.7985074626865671,0.2879875375028848,1,100.58
6380-ARCEH,male,0,no,No,1,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.019402985074626844,0.0001615508885298867,0,20.2
3679-XASPY,female,0,yes,Yes,1,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,electronic check,0.011940298507462671,7.500576967459007e-05,0,19.45
7123-WQUHX,male,0,no,No,38,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,No,One year,No,bank transfer (automatic),0.763681592039801,0.41389337641357027,0,94.88421052631578
5386-THSLQ,female,1,yes,No,66,No,No phone service,dsl,No,Yes,Yes,No,Yes,No,One year,No,bank transfer (automatic),0.2716417910447761,0.3471555504269559,0,45.86742424242424
3192-NQECA,male,0,yes,No,68,Yes,Yes,fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,bank transfer (automatic),0.9129353233830845,0.8761885529656128,1,111.93897058823529
6180-YBIQI,male,0,no,No,5,No,No phone service,dsl,No,No,No,No,No,No,Month-to-month,No,mailed check,0.06019900497512437,0.009393030233094853,0,20.04
6728-DKUCO,female,0,yes,Yes,72,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,electronic check,0.854726368159204,0.840555042695592,0,101.43125
9750-BOOHV,female,0,no,No,32,No,No phone service,dsl,Yes,No,No,No,No,No,One year,No,mailed check,0.11840796019900496,0.10487537502884837,0,28.9890625
8597-CWYHH,male,0,no,No,43,Yes,Yes,fiber optic,No,No,No,No,Yes,Yes,One year,No,mailed check,0.7572139303482587,0.4503231017770598,0,91.19302325581396
2848-YXSMW,male,0,yes,Yes,72,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),0.011442786069651711,0.15514078006000462,0,18.93402777777778
0486-HECZI,male,0,yes,No,55,Yes,Yes,fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,electronic check,0.7810945273631841,0.6023655665820448,1,95.25272727272727
4549-ZDQYY,female,0,no,No,52,Yes,No,dsl,Yes,No,Yes,Yes,No,No,One year,No,credit card (automatic),0.3950248756218906,0.34888645280406183,0,58.50480769230769
5712-AHQNN,female,0,no,No,43,Yes,No,fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,electronic check,0.7303482587064677,0.45410800830833137,0,91.95581395348837
4846-WHAFZ,female,1,yes,No,37,Yes,Yes,fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,0.5796019900497512,0.3287964458804523,1,77.51756756756757
5256-SKJGO,female,0,yes,Yes,64,No,No phone service,dsl,No,Yes,No,Yes,Yes,Yes,Two year,Yes,electronic check,0.36169154228855727,0.3928802215555043,0,53.4921875
3071-VBYPO,male,0,yes,Yes,3,Yes,No,fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,electronic check,0.7124378109452736,0.026494345718901455,0,82.8
9560-BBZXK,female,0,no,No,36,No,No phone service,dsl,Yes,No,No,No,No,No,Two year,No,bank transfer (automatic),0.127363184079602,0.12780406185091162,0,31.287499999999998
5299-RULOA,female,0,yes,Yes,10,Yes,Yes,fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,electronic check,0.8159203980099502,0.12068428340641589,1,106.465
8402-OOOHJ,female,0,no,No,41,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,mailed check,0.023880597014925342,0.09420147703669514,0,20.36951219512195
9445-ZUEQE,male,0,yes,Yes,27,Yes,Yes,fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,credit card (automatic),0.6661691542288557,0.24611123932610202,0,79.68888888888888
1091-SOZGA,female,0,yes,Yes,56,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,credit card (automatic),0.8114427860696517,0.6342776367412878,0,98.49017857142857
2928-HLDBA,female,0,no,No,6,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.024378109452736302,0.010841218555273483,0,18.791666666666668
0404-SWRVG,male,0,no,No,3,Yes,Yes,fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,0.5587064676616916,0.024319178398338335,1,76.51666666666667
6497-TILVL,female,0,yes,Yes,7,Yes,No,dsl,Yes,No,No,No,No,No,Month-to-month,No,mailed check,0.32288557213930347,0.03825871220863144,0,50.050000000000004
7219-TLZHO,female,0,yes,Yes,4,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.025870646766169153,0.005088852988691437,0,15.725
4622-YNKIJ,male,0,no,No,33,Yes,No,fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,electronic check,0.7034825870646766,0.34720170782367876,0,91.7469696969697
4412-YLTKF,female,1,no,No,27,Yes,Yes,fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,electronic check,0.5950248756218905,0.24425340410800833,1,79.0925925925926
6734-PSBAW,male,0,yes,No,72,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,bank transfer (automatic),0.0527363184079602,0.1967632125548119,0,23.94375
3930-ZGWVE,male,0,no,No,1,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,mailed check,0.014925373134328346,0.0001096238172167089,0,19.75
2639-UGMAZ,male,1,no,No,71,No,No phone service,dsl,Yes,Yes,No,No,Yes,Yes,One year,Yes,electronic check,0.3800995024875622,0.4577140549273021,0,56.131690140845066
2876-GZYZC,female,0,no,No,13,Yes,Yes,fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,0.6736318407960199,0.13810870066928227,0,93.51153846153846
6207-WIOLX,female,0,yes,Yes,25,No,No phone service,dsl,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,credit card (automatic),0.4014925373134328,0.1712266328179091,1,60.106
8587-XYZSF,male,0,no,No,67,Yes,No,dsl,No,No,No,Yes,No,No,Two year,No,bank transfer (automatic),0.32139303482587056,0.3740249249942303,0,48.65820895522388
3091-FYHKI,male,0,no,No,1,No,No phone service,dsl,No,No,No,No,No,Yes,Month-to-month,Yes,electronic check,0.17114427860696518,0.0019213016385875841,1,35.45
2372-HWUHI,male,0,no,No,2,Yes,No,dsl,No,No,No,No,No,No,Month-to-month,No,electronic check,0.25970149253731345,0.007206323563351027,1,40.625
7799-LGRDP,female,0,no,No,43,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,credit card (automatic),0.07412935323383085,0.13494114931917842,0,27.632558139534886
7850-VWJUU,female,0,no,No,23,Yes,No,fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,bank transfer (automatic),0.5646766169154228,0.20305792753288715,0,77.32608695652173
3774-VBNXY,female,0,yes,Yes,64,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,mailed check,0.019402985074626844,0.14527463651050082,0,19.96484375
6217-KDYWC,male,0,no,Yes,57,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,mailed check,0.013432835820895522,0.13290445418878374,0,20.5359649122807
0390-DCFDQ,female,1,yes,No,1,Yes,No,fiber optic,No,No,No,No,No,No,Month-to-month,Yes,mailed check,0.5194029850746269,0.005960073851834756,1,70.45
3146-MSEGF,female,1,yes,Yes,72,Yes,Yes,dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,credit card (automatic),0.6945273631840796,0.7393087929840757,0,89.24513888888889
4080-OGPJL,female,0,no,No,8,Yes,Yes,dsl,Yes,No,No,Yes,No,Yes,Month-to-month,No,electronic check,0.5263681592039802,0.06287214401107778,1,70.45625
1095-WGNGG,female,0,yes,No,61,Yes,Yes,fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,bank transfer (automatic),0.8238805970149253,0.6868739903069467,0,97.88934426229508
2636-SJDOU,male,0,no,No,64,Yes,Yes,fiber optic,Yes,Yes,No,No,No,No,One year,Yes,credit card (automatic),0.6572139303482587,0.608152550196169,0,82.64140625
1131-QQZEB,male,1,yes,No,71,Yes,Yes,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,bank transfer (automatic),0.056716417910447736,0.20048465266558968,0,24.735211267605635
5716-EZXZN,female,0,yes,Yes,65,Yes,Yes,fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,credit card (automatic),0.8039800995024875,0.7382760212324024,0,98.71846153846154
